Iteration,AverageDiscountedReturn,KL,KLBefore,NumTrajs,StdReturn,LossAfter,ProcessExecTime,PolicyExecTime,MaxReturn,dLoss,MinReturn,EnvExecTime,LossBefore,TotalEnvSteps,AverageReturn,GradNorm,Entropy
67,-8.704617333575657,0.0032557095400989056,0.0033336346969008446,300,0.2843120351538663,-0.14696595072746277,0.3657867908477783,11.417865991592407,-20.0,0.0007829070091247559,-22.5,6.682419776916504,-0.146183043718338,2040842,-20.05,0.2039537326445043,1.3994477987289429
68,-8.740145115771133,0.0032603417057543993,0.0032691119704395533,300,0.49476425362658005,-0.14619632065296173,0.35682249069213867,11.250167608261108,-20.0,-0.000974997878074646,-23.750000000000004,6.573540687561035,-0.14717131853103638,2070842,-20.125,0.139496947260657,1.4032866954803467
69,-8.737485583820668,0.0032861551735550165,0.003282965626567602,300,0.4983305462575353,-0.14663350582122803,0.34837794303894043,11.092279195785522,-20.0,0.0004988163709640503,-23.750000000000004,6.469125747680664,-0.14613468945026398,2100842,-20.15,0.21466686696579987,1.4045991897583008
70,-8.714988779787813,0.002808342920616269,0.003179208841174841,300,0.32585357993361924,-0.14502812922000885,0.3504805564880371,11.192657232284546,-20.0,-0.000516355037689209,-21.25,6.532498121261597,-0.14554448425769806,2130842,-20.091666666666665,0.14485638300653897,1.4050484895706177
71,-8.711973298771314,0.002899335464462638,0.002896728226915002,300,0.31180478223116176,-0.14597561955451965,0.35660314559936523,11.254902839660645,-20.0,-0.0006926357746124268,-21.25,6.567125558853149,-0.14666825532913208,2160842,-20.083333333333332,0.17283465293713798,1.4002119302749634
72,-8.700908942625277,0.003324751742184162,0.002862736349925399,300,0.26365486699260626,-0.14618241786956787,0.36925601959228516,11.565968036651611,-20.0,0.0003796517848968506,-21.25,6.7175304889678955,-0.14580276608467102,2190842,-20.058333333333334,0.16977968532037593,1.4004786014556885
73,-8.676959482332876,0.0030278810299932957,0.003301701508462429,300,0.17499999999999996,-0.14574293792247772,0.37214064598083496,11.700478553771973,-20.0,0.0006208866834640503,-21.25,6.85292911529541,-0.14512205123901367,2220842,-20.025,0.17079314526051706,1.4023975133895874
74,-8.705794671506549,0.0032009114511311054,0.00299819465726614,300,0.3157882553582737,-0.14665819704532623,0.36269569396972656,11.312435388565063,-20.0,0.000832483172416687,-22.5,6.6110405921936035,-0.14582571387290955,2250842,-20.066666666666666,0.18262419804353622,1.4128026962280273
75,-8.704246499499977,0.003323337994515896,0.0031348890624940395,300,0.3996526269427266,-0.14761459827423096,0.3474538326263428,11.061714887619019,-20.0,0.0006833076477050781,-23.75,6.474596977233887,-0.14693129062652588,2280842,-20.083333333333332,0.1419952038693835,1.4177769422531128
76,-8.73751105074836,0.002964130137115717,0.0033661560155451298,300,0.4217193642959998,-0.1467657834291458,0.34597229957580566,10.960713386535645,-20.0,-0.0009831339120864868,-22.5,6.423431873321533,-0.1477489173412323,2310842,-20.141666666666666,0.2067365024069749,1.4067683219909668
